title,description,author,contact,email_contact,update_date,url,data_type,access
Characteristics of masticated particles in mixed-conifer forests of the western United States: Moisture-loss tests,"This data publication contains the results of three separate moisture tests on masticated fuels collected from mixed-conifer forests in 14 study locations. These data were collected from 2012 through 2016 as part of the MASTIDON project. The MASTIDON project was a four-year research project to study how masticated material differs when treated with different cutting machines and how the masticated particles decompose when left on the ground for multiple years. It investigated masticated materials in four states of the western United States. The project was funded by the Joint Fire Sciences Program (JFSP) and RMRS between 2013 and 2016. The masticated particles within this project were created by four different machines, including a vertical rotating head, horizontal drum, chipper, and mower. They had been decomposing in situ in wet and dry areas of Idaho, Colorado, New Mexico, and South Dakota since their initial treatment. This portion of the study was designed to show how these materials absorb or lose water under three different conditions. This data publication includes the experimental results of tests conducted in (1) a temperature and humidity controlled environmental chamber; (2) outside under variable temperature and humidity conditions; and (3) in a temperature-controlled oven under laboratory conditions. The environmental chamber and outdoor tests were conducted on the entire range of fuel loads using 25 x 25 centimeter wire cages containing duff, 1 hour fuels, 10 hour fuels, 100 hour fuels, a variety of sizes of bark, and fresh litter materials. The oven tests were conducted on individual particles that were mostly 10 hour fuel-size class (i.e., between 7 millimeter and 2.54 centimeter in diameter). This publication also includes files describing the MASTIDON project and its goals.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/3817ec331424427598ca6d9ecc45f77f/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Characteristics of masticated particles in mixed-conifer forests of the western United States: Shape, particle, and fuel load characteristics","This data publication contains the results of sorting masticated particles from mixed-conifer forests in 15 study locations. These data were collected from 2012 through 2016 as part of the MASTIDON project. The MASTIDON project was a four-year research project to study how masticated material differs when treated with different cutting machines and how the masticated particles decompose when left on the ground for multiple years. It investigated masticated materials in four states of the western United States. The project was funded by the Joint Fire Sciences Program (JFSP) and RMRS between 2013 and 2016.<br /><br /> The masticated particles within this project were created by four different machines, including a vertical rotating head, horizontal drum, chipper, and mower. They had been decomposing in situ in wet and dry areas of Idaho, Colorado, New Mexico, and South Dakota since their initial treatment. Particles were broken down into 15 shape and three size classes. Each shape and size class was counted for total particles and weighed (in grams) for total fuel load by class. The total weights by shape and size class were then aggregated for a total fuel load for the 0.5 x 0.5 sample area at each location and converted to fuel loads for a 1 x 1 meter area. Subsamples of each shape and size class were taken to obtain specific information on the characteristics of particles in each class, such as average length, width, weight, particle density, volume, and surface area. This data publication includes field data on fuel loads, depth measurements, and bulk densities of five fuel layers; lab data from the sorting, characterization, and bulk density measurements of the fuel particles; and files describing the MASTIDON project and its goals.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/af6172fed11043ff8c1df45abeeeeedf/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Climate Change Pressures Growing Degree Days (Map Service),"Evaluating multiple signals of climate change across the conterminous United States during three 30-year periods (2010�2039, 2040�2069, 2070�2099) during this century to a baseline period (1980�2009) emphasizes potential changes for growing degree days (GDD), plant hardiness zones (PHZ), and heat zones. These indices were derived using the CCSM4 and GFDL CM3 models under the representative concentration pathways 4.5 and 8.5, respectively, and included in Matthews et al. (2018). Daily temperature was downscaled by Maurer et al.�(https://doi.org/10.1029/2007EO470006 at a 1/8 degree grid scale and used to obtain growing degree days, plant hardiness zones, and heat zones.�<div><br /></div><div>Each of these indices provides unique information about plant health related to changes in climatic conditions that influence establishment, growth, and survival. These data and the calculated changes are provided as 14 individual IMG files for each index to assist with management planning and decision making into the future. For each of the four indices the following are included: two baseline files (1980�2009), three files representing 30-year periods for the scenario CCSM4 under RCP 4.5 along with three files of changes, and three files representing 30-year periods for the scenario GFDL CM3 under RCP 8.5 along with three files of changes. Growing degree days address an important component to general patterns of plant growth by accumulating the degree days across the growing season. This metric provides a level of detail related to defining the growing season potential. Here, we evaluate the accumulation of growing degree days at or above 5 �C (41 �F), assuming that limited growth occurs below 5 �C.�</div><div><br /></div><div>Specifically, we calculate growing degree days by first calculating the average daily temperature, based on the maximum and minimum projected daily temperature. We then subtract 5 �C from each mean value and then accumulate the positive difference values for all days within each year. The mean GDD values for the conterminous United States during the baseline period ranged from less than 100 to over 7,000 degree days, increasing from north to south with highest values in the Florida panhandle, southern Texas, southwestern Arizona, and southeastern California. GDD projections throughout the century suggest a ubiquitous increase across the United States with slightly less change in the Northeast and much greater increases throughout the southern United States under the high scenario. Original data and associated metadata can be downloaded from this website:�<a href='https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001</a></div>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/fff187d8e89142c2a61c01a491f16d99/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Climate Change Pressures Heat Zones (Map Service),"<p style='margin-top:0px; margin-bottom:1.5rem; font-family:'Avenir Next W01', 'Avenir Next W00', 'Avenir Next', Avenir, 'Helvetica Neue', sans-serif; font-size:16px;'><span style='font-family:inherit;'>Evaluating multiple signals of climate change across the conterminous United States during three 30-year periods (2010�2039, 2040�2069, 2070�2099) during this century to a baseline period (1980�2009) emphasizes potential changes for growing degree days (GDD), plant hardiness zones (PHZ), and heat zones. These indices were derived using the CCSM4 and GFDL CM3 models under the representative concentration pathways 4.5 and 8.5, respectively, and included in Matthews et al. (2018). Daily temperature was downscaled by Maurer et al. (https://doi.org/10.1029/2007EO470006) at a 1/8 degree grid scale and used to obtain growing degree days, plant hardiness zones, and heat zones. Each of these indices provides unique information about plant health related to changes in climatic conditions that influence establishment, growth, and survival. These data and the calculated changes are provided as 14 individual IMG files for each index to assist with management planning and decision making into the future. For each of the four indices the following are included: two baseline files (1980�2009), three files representing 30-year periods for the scenario CCSM4 under RCP 4.5 along with three files of changes, and three files representing 30-year periods for the scenario GFDL CM3 under RCP 8.5 along with three files of changes.Heat zones map the distribution of potential heat stress for plants and animals, including humans. We define heat zones as the number of days with maximum daily temperature &gt;30 �C (86 �F). Because species have unique adaptations and abilities to tolerate a wide variety of conditions, this metric is used merely as an indicator of change in �hot� conditions. The 30 �C value is set primarily for agricultural production and is a general temperature threshold at which photosynthesis can be negatively impacted for C3 plants (e.g., most species including trees), but it certainly also captures temperatures that induce stress in humans as well. In addition, increases in temperature above these thresholds for longer periods, especially when accompanied with prolonged dry conditions, are linked to reduced performance and likely mortality of trees. Each day surpassing the 30 �C threshold was tallied and summed for each year and reported as the mean number of days, per year, over each 30-year period: baseline, early, mid, and late century.�</span></p><p style='margin-top:0px; margin-bottom:1.5rem; font-family:'Avenir Next W01', 'Avenir Next W00', 'Avenir Next', Avenir, 'Helvetica Neue', sans-serif; font-size:16px;'><span style='font-family: inherit;'>Original data and associated metadata can be downloaded from this website:�</span><a href='https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001' style='font-family: inherit; color: rgb(0, 121, 193); text-decoration-line: none;' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001</a><br /></p>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/e66c766dea41482aa9d766ff4a16fb3a/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Climate Change Pressures Plant Hardiness Zones (Map Service),"Evaluating multiple signals of climate change across the conterminous United States during three 30-year periods (2010�2039, 2040�2069, 2070�2099) during this century to a baseline period (1980�2009) emphasizes potential changes for growing degree days (GDD), plant hardiness zones (PHZ), and heat zones. These indices were derived using the CCSM4 and GFDL CM3 models under the representative concentration pathways 4.5 and 8.5, respectively, and included in Matthews et al. (2018). Daily temperature was downscaled by Maurer et al. (https://doi.org/10.1029/2007EO470006) at a 1/8 degree grid scale and used to obtain growing degree days, plant hardiness zones, and heat zones. Each of these indices provides unique information about plant health related to changes in climatic conditions that influence establishment, growth, and survival. These data and the calculated changes are provided as 14 individual IMG files for each index to assist with management planning and decision making into the future. For each of the four indices the following are included: two baseline files (1980�2009), three files representing 30-year periods for the scenario CCSM4 under RCP 4.5 along with three files of changes, and three files representing 30-year periods for the scenario GFDL CM3 under RCP 8.5 along with three files of changes.�<div><br /></div><div>Plant hardiness zones provide a general indication of the extent of overwinter stress experienced by plants. PHZ are based on the average annual extreme minimum temperatures and have been used by horticulturists to evaluate the cold hardiness of plants. Specifically, the value used here is the absolute minimum temperature achieved for each year and reported as the 30-year mean. Because they reflect cold tolerance for many plant species, including woody ones, hardiness zones are most likely to reflect plant range limits. The zonal variations caused by warming temperatures in the future will therefore be useful to approximately delineate niche constraints of many plant species and hence their future range potential. Plant hardiness zones and subzones were delineated according to the USDA definitions, which break the geography into zones by 10 �F (5.56 �C) increments from zone 1 (-55 to -45.6 �C) to zone 13 (15.7 to 22 �C) of annual extreme minimum temperature. To define the coldest day per year, daily minimum temperatures were identified within the period July 1 to June 30, with the nominal year assigned to the first 6 months of the 12-month period.�</div><div><br /></div><div>Original data and associated metadata can be downloaded from this website:�<a href='https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001' style='color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;' target='_blank' rel='nofollow ugc noopener noreferrer'>https://www.fs.usda.gov/rds/archive/Product/RDS-2019-0001</a></div>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/774789d29220451883a567ad73b2f0f2/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (0% Brook Trout), 1980 (Feature Layer)","This feature class represents the historical (1970-1999) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/c1639ff04e304270b3d9fd656cdb7efe/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (0% Brook Trout), 2040 (Feature Layer)","This feature class represents the mid-century (2030-2059) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/c0672a6394ca49fda7f297f55f3c8ddc/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (0% Brook Trout), 2080 (Feature Layer)","This feature class represents the end-of-century (2070-2099) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/9f2de277cc0e472788f68823b7da6f7f/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (50% Brook Trout), 1980 (Feature Layer)","This feature class represents the historical (1970-1999) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/e130db680c564d3387f8fd3ace7cd62e/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (50% Brook Trout), 2040 (Feature Layer)","This feature class represents the mid-century (2030-2059) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/0c0cddbd54f64e9190ad521dfd9c8a33/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Bull Trout (50% Brook Trout), 2080 (Feature Layer)","This feature class represents the end-of-century (2070-2099) scenario for bull trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields BT_0BRK - BT_100BRK indicate the probabilities of bull trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/21129b009c4d4f20b61d1a357faf19d4/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (0% Brook Trout), 1980 (Feature Layer)","This feature class represents the historical (1970-1999 scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/419e7d5385a3403f8035a2ef2df80ec6/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (0% Brook Trout), 2040 (Feature Layer)","This feature class represents the mid-century (2030-2059) scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/2b56897ce7724d298c1f17f61bd12205/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (0% Brook Trout), 2080 (Feature Layer)","This feature class represents the end-of-century (2070-2099) scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/8a82a383a8b449efa664d9f946c25a3a/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (50% Brook Trout), 1980 (Feature Layer)","This feature class represents the historical (1970-1999) scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/c890074102554610b05da2395cfdd5fe/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (50% Brook Trout), 2040 (Feature Layer)","This feature class represents the mid-century (2030-2059) scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/b87a028f4a264a4aafcaec38338e5982/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
"Climate Shield Cutthroat Trout (50% Brook Trout), 2080 (Feature Layer)","This feature class represents the end-of-century (2070-2099) scenario for cutthroat trout, derived from the Climate Shield fish distribution models. These models provide stream-specific probabilistic predictions about the occurrence of juvenile bull trout and cutthroat trout in association with three different scenarios for climate change and brook trout invasions. These datasets indicate all potential cold-water habitats less than 11 degrees Celsius. The attribute fields CT_0BRK - CT_100BRK indicate the probabilities of cutthroat trout occurrence within a cold-water habitat based on the prevalence of brook trout at 0%, 25%, 50%, 75%, or 100% of the sites within a habitat. The probabilities were predicted using the Climate Shield native trout models developed from known species occurrence in greater than 500 cold-water streams. The stream centerlines were based on the National Hydrography Dataset (NHD) but were modified for purposes of modeling and cross-walking to other datasets.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-11-01,https://www.arcgis.com/sharing/rest/content/items/8f04d916ff244d34b167236df5a0b3ef/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Collaborative Forest Landscape Restoration Program: Line (Feature Layer),"The Forest Service's Natural Resource Manager (NRM) Forest Activity Tracking System (FACTS) is the agency standard for managing information aboutactivities related to fire/fuels, silviculture, and invasive species. FACTS is an activity tracking application for all levels of the Forest Service. The application allows tracking and monitoring of NEPA decisions as well as the ability to create and manage KV trust fund plans at the timber sale level. This application complements its companion NRM applications, which cover the spectrum of living and non-living natural resource information. This layer represents Collaborative Forest Landscape Restoration (CFLR) Program project activities. Also included are other High Priority Restoration projects that are funded outside of CFLR. It is important to note that this layer does not contain all of the approved project activities. Instead, these are the accomplishments that project groups uploaded to the Forest Service corporate data holdings in FACTS. As spatial data is a new requirement for the program, improvements to the quality and comprehensiveness of this data is expected in coming years. <a href='https://data.fs.usda.gov/geodata/edw/edw_resources/meta/S_USA.Activity_CFLRP_LN.xml' target='_blank' rel='nofollow ugc noopener noreferrer'>Metadata</a>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/19ef08fb65ae4d93a094212f5735b068/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Collaborative Forest Landscape Restoration Program: Point (Feature Layer),"The Forest Service's Natural Resource Manager (NRM) Forest Activity Tracking System (FACTS) is the agency standard for managing information aboutactivities related to fire/fuels, silviculture, and invasive species. FACTS is an activity tracking application for all levels of the Forest Service. The application allows tracking and monitoring of NEPA decisions as well as the ability to create and manage KV trust fund plans at the timber sale level. This application complements its companion NRM applications, which cover the spectrum of living and non-living natural resource information. This layer represents Collaborative Forest Landscape Restoration (CFLR) Program project activities. Also included are other High Priority Restoration projects that are funded outside of CFLR. It is important to note that this layer does not contain all of the approved project activities. Instead, these are the accomplishments that project groups uploaded to the Forest Service corporate data holdings in FACTS. As spatial data is a new requirement for the program, improvements to the quality and comprehensiveness of this data is expected in coming years. <a href='https://data.fs.usda.gov/geodata/edw/edw_resources/meta/S_USA.Activity_CFLRP_PT.xml' target='_blank' rel='nofollow ugc noopener noreferrer'>Metadata</a>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/b5d77a243f984511a22e7377479cca41/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Collaborative Forest Landscape Restoration Program: Polygon (Feature Layer),"The Forest Service's Natural Resource Manager (NRM) Forest Activity Tracking System (FACTS) is the agency standard for managing information aboutactivities related to fire/fuels, silviculture, and invasive species. FACTS is an activity tracking application for all levels of the Forest Service. The application allows tracking and monitoring of NEPA decisions as well as the ability to create and manage KV trust fund plans at the timber sale level. This application complements its companion NRM applications, which cover the spectrum of living and non-living natural resource information. This layer represents Collaborative Forest Landscape Restoration (CFLR) Program project activities. Also included are other High Priority Restoration projects that are funded outside of CFLR. It is important to note that this layer does not contain all of the approved project activities. Instead, these are the accomplishments that project groups uploaded to the Forest Service corporate data holdings in FACTS. As spatial data is a new requirement for the program, improvements to the quality and comprehensiveness of this data is expected in coming years. <a href='https://data.fs.usda.gov/geodata/edw/edw_resources/meta/S_USA.Activity_CFLRP_PL.xml' target='_blank' rel='nofollow ugc noopener noreferrer'>Metadata</a>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/8d3fc880a28e4edfa75a809d4315abbf/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Collaborative Forest Landscape Restoration Project Boundaries (Feature Layer),Depicts the boundaries for the Collaborative Forest Landscape Restoration (CFLR) and High Priority Restoration (HRP) projects. <a href='https://data.fs.usda.gov/geodata/edw/edw_resources/meta/S_USA.CFLR_HPRP_ProjectBoundary.xml' target='_blank' rel='nofollow ugc noopener noreferrer'>Metadata</a>,U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/8c18a3db7a0a4142b94101641f417ce4/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Coram Experimental Forest daily meteorology data for Desert Ridge and Terrace Hills weather stations: 1996-2015,"This data publication contains daily meteorological data collected at the Desert Ridge and Terrace Hills weather stations located on the Coram Experimental Forest (Flathead National Forest) in Montana. The Terrace Hills weather station was installed in May of 1996, and the Desert Ridge weather station was installed in May of 2001. Data are included up through 2015 for both stations. In August (Terrace Hills) and September (Desert Ridge) of 2015 the meteorological sensors, new data loggers were installed and the program updated to collect data on an hourly basis. We are more confident in the new data (not yet published) than the data included in this publication because the old sensors were not maintained as recommended by the manufacturer - as detailed in the accuracy report.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-25,https://www.arcgis.com/sharing/rest/content/items/f110376ce18643098da4bc3a121f45ac/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Current Invasive Plants (Feature Layer),"The Current Invasive Plants (InvasivePlantCurrent) feature class contains only the most recent or latest invasive Plant Infestation polygons collected by the National Invasive Plant Inventory Protocol. Includes most recent and excludes historic observations. Includes Site ID, Plant code, status etc. for the infesting species, date, area and other basic data. <a href='https://data.fs.usda.gov/geodata/edw/edw_resources/meta/S_USA.InvasivePlantCurrent.xml' target='_blank' rel='nofollow ugc noopener noreferrer'>Metadata</a>",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2023-12-29,https://www.arcgis.com/sharing/rest/content/items/cfa7600b5e81444c83adb26f798fb7f2/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
Daily black carbon emissions data from fires in Northern Eurasia for 2002-2015,"This data publication, the Fire Emission Inventory - Northern Eurasia (FEI-NE), consists of a high spatial resolution (500 meter ? 500 meter) dataset of daily black carbon (BC) emissions from forest, grassland, shrubland, and savanna fires in Northern Eurasia from 2002 to 2015. BC emissions were estimated using land cover maps and detected burned areas based on MODIS (MODerate Resolution Imaging Spectroradiometer) remote sensing products, the Forest Inventory Survey of the Russian Federation, the IPCC Tier-1 Global Biomass Carbon Map for the year 2000, and cover type specific BC emission factors. The data publication includes land cover type, fuel loading, and fuel consumption which are input for the model used to estimate BC emissions. These data provide daily emission sources for the assessment of the transport and deposition of BC on Arctic ice and snow.",U.S. Forest Service,USFSEnterpriseContent,mailto:SM.FS.data@usda.gov,2022-08-29,https://www.arcgis.com/sharing/rest/content/items/c8d640f7cad24231a072c680444a171d/info/metadata/metadata.xml?format=iso19139,dcat:Distribution,public
